3586,108,73548,PRO,A,Fall 2022,Fall 2022,BRKLN,40
4304,109,170708,RSC,C,Fall 2022,Fall 2022,BRKLN,5
111,46,171115,RSC,BK20,Spring 2022,Spring 2022,BRKLN,15
112,110,73770,LEC,A,Spring 2022,Spring 2022,BRKLN,193
114,111,73224,LEC,A,Spring 2022,Spring 2022,BRKLN,25
136,112,233319,LAB,A3,Spring 2022,Spring 2022,BRKLN,18
5182,62,234264,PRO,T,Fall 2022,Fall 2022,BRKLN,30
4251,10,74921,FLD,EE01,Fall 2022,Fall 2022,BRKLN,50
4005,113,170826,LEC,INET,Fall 2022,Fall 2022,EPOLY,50
119,106,230645,LEC,I,Spring 2022,Spring 2022,BRKLN,30
4320,114,171895,RSC,BK21,Fall 2022,Fall 2022,BRKLN,10
3534,115,73370,RSC,BK06,Fall 2022,Fall 2022,BRKLN,5
122,116,72935,LEC,B,Spring 2022,Spring 2022,BRKLN,40
5176,117,172654,RSC,BK02,Fall 2022,Fall 2022,BRKLN,5
124,118,171520,RCT,ARC,Spring 2022,Spring 2022,BRKLN,45
4651,119,170832,PRO,BK42,Fall 2022,Fall 2022,BRKLN,5
3654,120,171117,RSC,BK36,Fall 2022,Fall 2022,BRKLN,15
4601,121,231235,RSC,BK02,Fall 2022,Fall 2022,BRKLN,5
4683,122,72241,RCT,REC4,Fall 2022,Fall 2022,BRKLN,30
3576,123,74235,RSC,BK01,Fall 2022,Fall 2022,BRKLN,5
5203,30,73768,RCT,B3RC,Fall 2022,Fall 2022,BRKLN,24
2970,48,73367,GUI,BK15,Fall 2022,Fall 2022,BRKLN,5
133,125,228233,LEC,B,Spring 2022,Spring 2022,BRKLN,30
134,126,226980,LEC,A,Spring 2022,Spring 2022,WS,7
5060,127,234610,RCT,D2RC,Fall 2022,Fall 2022,BRKLN,18
5299,128,74626,LEC,A,Fall 2022,Fall 2022,BRKLN,30
138,46,72483,LEC,LEC,Spring 2022,Spring 2022,BRKLN,80
139,129,170759,LEC,A,Spring 2022,Spring 2022,BRKLN,40
4060,130,171117,RSC,BK24,Fall 2022,Fall 2022,BRKLN,15
141,131,233801,PRO,Q,Spring 2022,Spring 2022,BRKLN,30
142,132,221822,LEC,BK02,Spring 2022,Spring 2022,BRKLN,9
143,133,234852,LEC,A,Spring 2022,Spring 2022,BRKLN,40
3964,111,73233,LEC,I,Fall 2022,Fall 2022,BRKLN,25
146,134,234853,LEC,A,Spring 2022,Spring 2022,BRKLN,20
147,135,73967,RSC,BK07,Spring 2022,Spring 2022,BRKLN,10
3485,136,211454,LEC,H,Fall 2022,Fall 2022,BRKLN,40
150,137,73359,RSC,BK11,Spring 2022,Spring 2022,BRKLN,10
151,130,234124,LEC,A,Spring 2022,Spring 2022,BRKLN,120
5047,138,171114,PRO,BK36,Fall 2022,Fall 2022,BRKLN,15
4102,139,170832,PRO,BK26,Fall 2022,Fall 2022,BRKLN,5
154,140,234609,LEC,A,Spring 2022,Spring 2022,WS,5
155,141,73123,PRO,E,Spring 2022,Spring 2022,BRKLN,12
156,142,73583,LEC,C,Spring 2022,Spring 2022,BRKLN,18
157,68,170567,LEC,A,Spring 2022,Spring 2022,BRKLN,25
5043,121,170834,RSC,BK27,Fall 2022,Fall 2022,BRKLN,5
4987,143,172656,RSC,BK02,Fall 2022,Fall 2022,BRKLN,10
5094,144,70036,LEC,C,Fall 2022,Fall 2022,BRKLN,65
4933,2,213437,NCR,A,Fall 2022,Fall 2022,BRKLN,35
167,145,233031,LEC,A,Spring 2022,Spring 2022,WS,3
168,146,73206,LEC,A,Spring 2022,Spring 2022,BRKLN,18
3499,147,73234,LEC,B,Fall 2022,Fall 2022,EPOLY,25
5010,148,171082,LEC,A,Fall 2022,Fall 2022,BRKLN,100
4216,149,234264,PRO,AZ,Fall 2022,Fall 2022,BRKLN,30
5223,150,171113,PRO,BK30,Fall 2022,Fall 2022,BRKLN,15
175,151,73116,RSC,INET,Spring 2022,Spring 2022,EPOLY,12
177,152,73965,PRO,BK07,Spring 2022,Spring 2022,BRKLN,10
193,153,170832,PRO,BK30,Spring 2022,Spring 2022,BRKLN,3
3049,154,171117,RSC,BK40,Fall 2022,Fall 2022,BRKLN,15
180,155,226979,RCT,ARC,Spring 2022,Spring 2022,WS,8
3961,156,171879,GUI,BK03,Fall 2022,Fall 2022,BRKLN,1
3631,157,72358,LEC,A,Fall 2022,Fall 2022,BRKLN,36
4854,89,171892,PRO,BK22,Fall 2022,Fall 2022,BRKLN,10
4275,158,223593,RSC,C,Fall 2022,Fall 2022,BRKLN,5
4365,120,171111,RSC,BK35,Fall 2022,Fall 2022,BRKLN,15
4288,159,171114,PRO,BK21,Fall 2022,Fall 2022,BRKLN,15
3380,137,73360,RSC,BK01,Fall 2022,Fall 2022,BRKLN,10
195,123,172374,GUI,BK01,Spring 2022,Spring 2022,BRKLN,5
3630,33,170834,RSC,BK23,Fall 2022,Fall 2022,BRKLN,5
4758,160,73787,LEC,A,Fall 2022,Fall 2022,BRKLN,18
4375,62,229760,PRO,T,Fall 2022,Fall 2022,BRKLN,30
199,161,171088,LEC,A,Spring 2022,Spring 2022,BRKLN,30
200,162,229163,LEC,B,Spring 2022,Spring 2022,WS,6
2713,28,73768,LEC,Y1LC,Summer 2022,Summer 2022,BRKLN,25
4171,61,229760,PRO,AW,Fall 2022,Fall 2022,BRKLN,30
4592,163,72368,LEC,LEC,Fall 2022,Fall 2022,BRKLN,30
3550,138,73367,GUI,BK02,Fall 2022,Fall 2022,BRKLN,5
3472,164,233318,LAB,A3LB,Fall 2022,Fall 2022,BRKLN,18
3910,10,213442,FLD,EE01,Fall 2022,Fall 2022,BRKLN,10
2239,165,170850,LAB,C1LB,Spring 2022,Spring 2022,BRKLN,6
3811,50,170832,PRO,BK02,Fall 2022,Fall 2022,BRKLN,5
2776,166,73367,GUI,BK07,Summer 2022,Summer 2022,BRKLN,5
211,167,229765,LEC,A,Spring 2022,Spring 2022,BRKLN,25
3070,168,72891,LEC,A,Fall 2022,Fall 2022,BRKLN,18
3265,169,172656,RSC,BK07,Fall 2022,Fall 2022,BRKLN,35
215,99,170832,PRO,BK10,Spring 2022,Spring 2022,BRKLN,3
4237,170,221822,LEC,A,Fall 2022,Fall 2022,BRKLN,20
217,148,171111,RSC,BK22,Spring 2022,Spring 2022,BRKLN,15
3977,121,170832,PRO,BK37,Fall 2022,Fall 2022,BRKLN,3
4147,171,172656,RSC,SH01,Fall 2022,Fall 2022,SH,10
5154,172,235765,PRO,AN,Fall 2022,Fall 2022,BRKLN,30
222,62,170898,RSC,BK03,Spring 2022,Spring 2022,BRKLN,1
3935,173,171111,RSC,BK14,Fall 2022,Fall 2022,BRKLN,15
3116,32,234264,PRO,U,Fall 2022,Fall 2022,BRKLN,30
226,47,221822,LEC,BK03,Spring 2022,Spring 2022,BRKLN,10
227,67,171008,LEC,A,Spring 2022,Spring 2022,BRKLN,40
5279,174,225855,LAB,LAB2,Fall 2022,Fall 2022,BRKLN,28
229,175,170364,LEC,I,Spring 2022,Spring 2022,BRKLN,20
4890,99,170898,RSC,BK02,Fall 2022,Fall 2022,BRKLN,10
4289,176,233272,LEC,B,Fall 2022,Fall 2022,BRKLN,18
4513,177,233801,PRO,R,Fall 2022,Fall 2022,BRKLN,30
5225,178,73367,GUI,BK16,Fall 2022,Fall 2022,BRKLN,5
1934,29,74335,LAB,A,Spring 2022,Spring 2022,BRKLN,8
3589,179,229760,PRO,AQ,Fall 2022,Fall 2022,BRKLN,30
238,46,171111,RSC,BK20,Spring 2022,Spring 2022,BRKLN,15
5207,177,223593,RSC,E,Fall 2022,Fall 2022,BRKLN,5
4233,180,72938,LEC,A,Fall 2022,Fall 2022,BRKLN,18
241,181,73965,PRO,BK11,Spring 2022,Spring 2022,BRKLN,10
244,182,223012,LEC,A,Spring 2022,Spring 2022,BRKLN,70
4881,73,171111,RSC,BK12,Fall 2022,Fall 2022,BRKLN,15
4588,183,171114,PRO,BK06,Fall 2022,Fall 2022,BRKLN,15
1562,185,72606,LEC,CF01,Spring 2022,Spring 2022,EPOLY,100
3612,186,73259,LEC,A,Fall 2022,Fall 2022,BRKLN,25
2321,131,72960,LAB,B,Spring 2022,Spring 2022,BRKLN,25
4280,187,72770,LEC,ALEC,Fall 2022,Fall 2022,BRKLN,25
252,54,233274,LEC,A,Spring 2022,Spring 2022,BRKLN,18
5282,188,72975,LAB,B2LB,Fall 2022,Fall 2022,BRKLN,20
3393,189,170834,RSC,BK16,Fall 2022,Fall 2022,BRKLN,5
3617,179,235765,PRO,AQ,Fall 2022,Fall 2022,BRKLN,30
4814,190,229760,PRO,AE,Fall 2022,Fall 2022,BRKLN,30
3410,77,72426,RSC,BK08,Fall 2022,Fall 2022,BRKLN,5
4748,191,72825,FLD,C,Fall 2022,Fall 2022,BRKLN,10
260,179,226940,LEC,C,Spring 2022,Spring 2022,WS,11
2892,193,170834,RSC,BK17,Fall 2022,Fall 2022,BRKLN,5
4092,161,74954,IND,BK38,Fall 2022,Fall 2022,BRKLN,15
264,194,73583,LEC,G,Spring 2022,Spring 2022,BRKLN,1
3939,195,170776,LEC,B,Fall 2022,Fall 2022,BRKLN,50
266,196,171115,RSC,BK30,Spring 2022,Spring 2022,BRKLN,15
267,89,171760,LEC,A,Spring 2022,Spring 2022,BRKLN,30
3512,197,72426,RSC,BK04,Fall 2022,Fall 2022,BRKLN,5
3846,178,73370,RSC,BK16,Fall 2022,Fall 2022,BRKLN,5
4869,198,170287,RSC,BK18,Fall 2022,Fall 2022,BRKLN,10
272,199,171879,GUI,BK02,Spring 2022,Spring 2022,BRKLN,1
3636,200,171892,PRO,BK09,Fall 2022,Fall 2022,BRKLN,10
274,201,235765,PRO,AJ,Spring 2022,Spring 2022,BRKLN,30
275,202,73886,RCT,BREC,Spring 2022,Spring 2022,BRKLN,24
2877,4,72241,LEC,CLEC,Fall 2022,Fall 2022,BRKLN,70
279,203,211722,LEC,C,Spring 2022,Spring 2022,BRKLN,18
4585,204,72372,LAB,ALAB,Fall 2022,Fall 2022,BRKLN,15
2908,205,170603,RSC,L,Fall 2022,Fall 2022,BRKLN,5
676,206,170974,LEC,INET,Spring 2022,Spring 2022,EPOLY,30
4168,207,73967,RSC,L,Fall 2022,Fall 2022,BRKLN,5
3185,190,234264,PRO,AE,Fall 2022,Fall 2022,BRKLN,30
2303,208,73886,LEC,ALEC,Spring 2022,Spring 2022,BRKLN,24
288,209,233247,LEC,A,Spring 2022,Spring 2022,BRKLN,25
3114,210,170583,GUI,O,Fall 2022,Fall 2022,BRKLN,5
290,6,212353,LEC,A,Spring 2022,Spring 2022,BRKLN,20
4771,211,234264,PRO,M,Fall 2022,Fall 2022,BRKLN,30
4442,212,171114,PRO,BK42,Fall 2022,Fall 2022,BRKLN,15
5029,213,211726,LEC,INT1,Fall 2022,Fall 2022,EPOLY,18
4142,115,72426,RSC,BK06,Fall 2022,Fall 2022,BRKLN,5
3518,214,73367,GUI,BK11,Fall 2022,Fall 2022,BRKLN,5
3497,187,233801,PRO,AH,Fall 2022,Fall 2022,BRKLN,30
3475,206,72426,RSC,BK03,Fall 2022,Fall 2022,BRKLN,5
4344,216,73596,LEC,LEC,Fall 2022,Fall 2022,BRKLN,40
3945,15,222238,IND,B,Fall 2022,Fall 2022,BRKLN,200
4872,22,70039,RCT,D3RC,Fall 2022,Fall 2022,BRKLN,15
302,218,73351,LEC,I,Spring 2022,Spring 2022,BRKLN,30
2462,220,211727,LEC,LA1,Summer 2022,Summer 2022,GLOBAL-LA,15
305,204,229431,LEC,INET,Spring 2022,Spring 2022,EPOLY,25
306,223,170832,PRO,BK16,Spring 2022,Spring 2022,BRKLN,5
3792,224,170287,RSC,BK14,Fall 2022,Fall 2022,BRKLN,10
2910,188,229760,PRO,N,Fall 2022,Fall 2022,BRKLN,30
311,225,226978,RCT,ARC,Spring 2022,Spring 2022,WS,1
2886,207,170603,RSC,M,Fall 2022,Fall 2022,BRKLN,5
3995,41,170601,RSC,D,Fall 2022,Fall 2022,BRKLN,5
3428,9,171117,RSC,BK37,Fall 2022,Fall 2022,BRKLN,15
4136,226,171113,PRO,BK02,Fall 2022,Fall 2022,BRKLN,15
4347,227,229760,PRO,AM,Fall 2022,Fall 2022,BRKLN,30
318,187,72799,LEC,A,Spring 2022,Spring 2022,BRKLN,30
4879,228,171086,LEC,B,Fall 2022,Fall 2022,BRKLN,60
4477,229,229205,LEC,A,Fall 2022,Fall 2022,BRKLN,30
